103 785
31 91 1
29 86 1
40 84 1
59 76 1
50 95 1
23 41 -1
17 24 1
58 103 1
37 64 1
71 91 1
93 95 1
13 35 1
34 40 1
34 89 1
60 77 1
55 91 1
73 74 1
44 91 1
64 88 1
35 47 1
64 71 1
37 57 1
26 86 1
68 69 1
41 78 1
33 94 -1
52 76 1
88 95 1
79 99 1
57 88 1
20 91 1
42 89 1
31 58 1
29 60 1
76 103 1
40 53 1
57 71 1
15 97 1
20 67 1
67 94 -1
89 97 1
11 36 1
38 70 -1
11 33 1
60 91 1
29 76 1
13 33 1
65 95 1
29 58 1
76 86 1
65 89 1
15 86 1
51 84 1
20 24 1
11 31 1
49 91 1
33 47 1
87 91 1
60 70 1
24 28 1
25 51 1
58 91 1
14 92 1
43 76 1
36 38 -1
71 74 1
67 71 1
40 68 1
37 94 -1
34 51 1
42 86 1
44 50 1
58 67 1
24 60 1
72 93 1
40 91 1
91 99 1
15 79 1
68 76 1
73 76 1
15 50 1
53 96 1
20 21 1
64 99 1
31 41 1
25 100 1
96 97 1
20 71 1
86 97 1
78 79 1
58 82 1
32 70 1
36 42 -1
50 54 1
13 88 1
24 38 -1
60 67 1
50 60 1
25 96 -1
77 91 1
21 40 1
79 95 1
12 93 1
44 78 1
13 40 1
23 34 1
20 41 1
20 82 1
49 93 -1
24 82 1
49 60 1
40 44 1
27 76 1
36 47 1
17 91 1
22 23 1
11 76 1
41 88 1
15 78 1
37 60 1
32 38 -1
70 84 1
46 76 1
57 97 1
11 21 1
57 77 1
82 89 1
15 55 1
41 58 1
42 91 1
24 32 1
23 102 1
51 98 1
20 40 1
39 78 1
41 46 1
21 51 1
41 99 1
15 21 -1
36 88 1
31 51 1
58 71 1
13 70 1
64 82 1
49 76 1
58 60 1
13 51 1
29 41 1
88 89 1
35 95 1
15 95 1
50 88 1
53 55 1
44 51 1
54 70 1
42 76 1
38 46 -1
25 91 1
55 58 1
15 91 1
23 96 1
20 86 1
40 94 1
88 96 1
60 95 1
34 60 1
19 29 1
76 81 1
38 51 -1
76 100 1
40 99 1
17 49 1
37 54 1
64 91 1
20 89 1
41 87 1
51 91 1
11 35 1
20 51 1
28 82 1
20 55 1
59 70 1
77 86 1
58 86 1
24 57 1
40 60 1
33 102 -1
15 65 1
23 100 1
32 93 1
57 91 1
51 88 1
22 95 1
43 77 1
84 93 1
20 64 1
50 76 1
51 71 1
38 82 -1
51 87 1
34 47 1
68 91 1
24 95 1
32 88 1
34 76 1
50 65 1
65 78 1
37 95 1
86 91 1
35 50 1
25 82 1
13 53 1
51 99 1
22 78 1
13 38 1
26 29 1
32 57 1
36 82 1
71 100 1
50 64 1
64 67 1
47 53 1
21 96 1
35 54 1
76 89 1
60 94 -1
48 76 1
24 29 1
31 38 -1
15 38 -1
33 87 1
71 95 1
32 47 1
15 41 1
29 87 -1
15 20 1
51 60 1
11 53 1
25 88 -1
38 71 -1
54 76 1
38 40 1
20 28 1
37 78 1
50 97 1
76 78 1
38 44 -1
49 64 1
38 94 -1
91 93 1
52 54 1
82 94 -1
41 64 1
95 99 1
70 78 1
15 89 1
25 94 -1
19 76 1
15 51 1
40 51 1
21 94 -1
41 97 1
59 71 1
25 99 -1
13 64 1
76 96 1
15 58 1
15 40 1
38 98 -1
24 26 1
49 68 1
63 76 1
33 88 1
31 32 1
71 73 1
82 93 1
12 91 1
39 69 1
76 99 1
23 91 1
40 42 1
76 95 1
21 31 1
91 102 1
21 47 1
51 77 1
35 76 1
41 86 1
38 60 -1
76 79 1
28 60 1
33 60 -1
13 47 1
29 88 1
21 93 1
57 58 1
40 57 1
32 82 1
39 76 1
31 96 1
33 44 1
25 40 1
19 96 1
43 71 1
65 88 1
11 68 1
77 100 1
32 37 1
11 29 1
13 76 1
44 88 1
65 76 1
13 20 1
33 76 1
38 88 1
24 44 1
40 64 1
58 94 -1
32 44 1
64 89 1
25 97 -1
31 57 1
15 64 1
70 90 1
33 52 1
36 60 1
16 76 1
72 76 1
32 71 1
38 87 -1
76 82 1
23 49 1
32 77 1
35 96 1
31 47 1
60 82 1
51 57 1
49 102 1
71 93 1
40 93 1
37 76 1
26 65 1
31 40 1
78 91 1
15 36 1
47 94 1
57 64 1
40 86 1
13 23 1
41 79 1
56 91 1
12 76 1
22 47 1
15 82 1
50 91 1
15 28 1
25 38 -1
70 88 1
20 47 1
51 64 1
67 76 1
47 69 1
21 88 1
49 50 1
11 23 1
49 90 1
76 91 1
73 94 -1
26 76 1
76 80 1
74 76 1
11 102 1
14 21 1
37 50 1
35 67 1
22 76 1
22 32 1
91 95 1
64 100 1
29 79 1
60 93 1
37 38 -1
54 67 1
28 97 1
41 91 1
79 91 1
65 97 1
54 91 1
40 58 1
62 76 1
41 67 1
67 79 1
77 94 -1
40 47 1
11 86 1
24 76 1
79 94 -1
29 91 -1
11 50 1
47 91 1
37 52 1
31 95 1
72 77 1
24 79 1
13 69 1
70 76 1
38 57 -1
12 89 1
19 91 1
23 38 -1
78 94 -1
88 99 1
75 76 1
78 82 1
35 70 1
53 54 1
24 65 1
45 76 1
14 88 1
19 94 1
13 15 1
66 76 1
60 65 1
35 91 1
24 34 1
65 99 1
94 95 -1
50 89 1
79 97 1
38 90 1
70 97 1
25 84 1
76 84 1
41 49 1
42 47 1
23 50 1
34 84 1
23 51 1
31 44 1
11 19 1
51 102 1
37 79 1
17 76 1
51 76 1
22 54 1
40 76 1
33 91 1
70 79 1
53 76 1
29 82 1
31 60 1
20 95 1
40 78 1
19 42 1
41 95 1
50 51 1
58 79 1
40 56 1
23 25 -1
39 91 1
21 32 1
40 50 1
38 91 -1
13 68 1
97 99 1
47 64 1
37 91 1
31 87 1
78 99 1
31 90 1
11 91 1
25 76 1
19 40 1
48 100 1
17 19 1
90 91 1
40 95 1
64 76 1
51 54 1
36 39 1
76 85 1
13 29 1
30 76 1
36 91 1
51 78 1
40 41 1
26 91 1
41 89 1
37 68 1
16 49 -1
24 77 1
21 64 1
20 44 1
34 100 1
32 51 1
39 40 1
35 53 1
42 87 -1
21 38 1
84 86 1
36 76 1
44 87 1
